Age of the injured,Str Code,Accident Description,Road speed limit,Pedestrian action,Number of Lanes,Gender_F,Gender_M,Week_Fifth week,Week_First week,Week_Fourth week,Week_Second week,Week_Third week,Date_time,Reasons__??? ????? ?????? ?????? ???? ????? ??? ???? ???????,Reasons__???? ?? ??????? (???),Reasons__Bypassing the red traffic light,Reasons__Driving back without attention,Reasons__Driving back without traffic clearance,Reasons__Driving in the opposite direction,Reasons__Entering main road without traffic clearance,Reasons__Exceeding speed limit,Reasons__Fatigue and drowsiness,Reasons__Faults in the road,Reasons__Ignoring road lane,Reasons__Ignoring traffic lights,Reasons__Lack of driving awareness,Reasons__Misuse of traffic,Reasons__Negligence and inobservance,Reasons__Negligent driving,Reasons__Not giving priority to pedestrian crossing,Reasons__Not giving way / not giving priority,Reasons__Not leaving enough space,Reasons__Not observing the stop sign,Reasons__Not securing vehicle stability while stopping,Reasons__Speedy without taking road conditions into account,Reasons__Sudden deviation,Reasons__Sudden stop,Reasons__Tyre burst,Reasons__under influence of intoxicant or narcotic drug,__Al Madina Police Station,__Khaldiya Police Station,__Shaabiya Police Station,Streetname_Intersection,Streetname_Street,place__Bridge / Tunnel,place__Coastal area,place__Commercial area,place__Fuel Station,place__Govt. authority,place__Hospital,place__Island,place__Mosque,place__One level intersection,place__Other,place__Park,place__Residential area,place__Sand area,place__School,place__Work area,place__external road,place__unknown,location__ ,location__Bridge,location__Bridge /  Tunnel,location__Car parking,location__Double road,location__Highway,location__Intersection,location__Off the road,location__Other(specify),location__Roundabout,location__Side parking,location__Single road,location__Tunnel,location__Two-way road,location__Unknown,lighting__day,lighting__night - enough lights,lighting__night - weak lights,intersection__Deviated intersection,intersection__Half Perpendicular Intersection,intersection__Multiple leg Intersection,intersection__Not on Intersection,intersection__Not on or around 20 meters,intersection__Other,intersection__Perpendicular Intersection,intersection__Roundabout,intersection__Turn ,accidentype__Collision while turning,accidentype__Fall,accidentype__Hitting a moving object off the road,accidentype__Hitting a moving object on the road,accidentype__Hitting a stationary object off the road,accidentype__Hitting a stationary object on the road,accidentype__Multiple collision,accidentype__Other (specify),accidentype__Perpendicular collision,accidentype__Person run over,accidentype__Rear collision,accidentype__Reciprocal collision,accidentype__Side collision,accidentype__deterioration,seat belt_N,seat belt_Y,seat_Back passenger seat,seat_Driver's seat,seat_Front passenger seat,seat_No passenger,seat_bike passenger,position_Driver,position_Passenger,position_Pedestrian,nationality_Arab States,nationality_Asian States,nationality_GCC,nationality_Other,nationality_UAE
0.7819584847897707,1.4010284044075743,"3803.                   After detection and inspecting the accident site, the following accident chart became clear: While the causing vehicle was coming from the west towards the east and it would like to turn left, the lane is on the far left, the damaged vehicle is coming from the east towards the west and the lane is on the far right. In the case of moving forward, and because of bypassing the red light and driving drunk the causing vehicle was collided from the front right corner. The damaged vehicle is on the right side of the causing vehicle. The accident resulted in a female passenger being injured in the damaged vehicle, as well as material damage to both vehicles. The detection and necessary measures were taken.",-0.19746179160121255,-0.4015453331379524,0.6331117943832852,1,0,0,1,0,0,0,-1.5446181541238475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
1.260820907432028,1.222687028449784,"3804.                   After detection and inspection by the accident chart, the following is revealed: -The causing vehicle was coming from the west towards the east with the left lane line, the damaged vehicle was coming from the south towards the north with the right lane line, while the two vehicles were passing and because of bypassing the red traffic light by the offending driver hit the front of the damaged vehicle on the right side of the damaged vehicle, and accordingly the accident was charted.",-0.19746179160121255,-0.4015453331379524,-0.3676863281700941,0,1,0,1,0,0,0,-1.5442350984091835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
-0.016145552947325045,-0.574445298509487,"3805.                   After detection and inspecting the accident site, the following accident chart became clear: The causing vehicle was coming from the south to the north, and due to the driving in an abnormal state (drunkenness) by the offending driver, the vehicle deviated from the road and hit the front of the causing vehicle with a billboard column. The accident was charted and necessary action was taken.",-0.19746179160121255,-0.4015453331379524,1.6339099169366647,0,1,0,1,0,0,0,-1.5400214855478795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0.46271686969493236,1.4147469717889427,"3806.                   After detection and inspecting the accident site, it became clear that the following accident chart: - The causing vehicle is coming from the south to the north, heading to the west, the path is passed by the arrow, and the damaged vehicle is coming from the north to the south, on the right path. To bypass the red light by the causing vehicle, the front of the damaged vehicle collided with the right side of the causing vehicle. The accident was charted and the crisis was conducted.",-0.19746179160121255,-0.4015453331379524,-0.3676863281700941,1,0,0,1,0,0,0,-1.5268990912083902,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0.35630299799665294,-0.9174094830436991,"3807.                   After detection and inspecting the accident site, the following accident chart became clear: During the rotation of the causing vehicle from the filter triangle, the driver of the causing vehicle could not control the causing vehicle, which led to hitting the front of the causing vehicle on the sidewalk leading to its rollover on its left side. The accident was charted and necessary action was taken.",-1.4175737141371132,-0.4015453331379524,-2.3692825732768528,1,0,0,1,0,0,0,-1.5202448662222272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
-0.8142495906844207,-0.9174094830436991,"3808.                   After detection and inspecting the accident site, the following accident chart became clear: - During the rotation of the causing vehicle from the filter triangle, the driver of the causing vehicle could not control the causing vehicle, which led to hitting the front of the causing vehicle on the sidewalk leading to its rollover on its left side. The accident was charted and necessary action was taken.",-1.4175737141371132,-0.4015453331379524,-2.3692825732768528,1,0,0,1,0,0,0,-1.5202448662222272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
-0.9206634623827001,-0.9174094830436991,"3809.                   After detection and inspecting the accident site, the following accident chart became clear: During the rotation of the causing vehicle from the filter triangle, the driver of the causing vehicle could not control the causing vehicle, which led to hitting the front of the causing vehicle on the sidewalk leading to its rollover on its left side. The accident was charted and necessary action was taken.",-1.4175737141371132,-0.4015453331379524,-2.3692825732768528,0,1,0,1,0,0,0,-1.5202448662222272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
-0.06935248879646476,-0.8488166461368566,"3810.                   After detection and inspecting the accident site, the following accident chart became clear: - The first causing vehicle is coming from the south towards the north, and run-over person (second offender) is coming from the north towards the south, and because of the lack of estimation of the road users by the first offender and passing the run-over person (second offender) the road away from the pedestrian, the right-side mirror collided with the run-over person, and the accident was charted and the crisis was conducted.",-1.4175737141371132,2.490378837640347,-1.3684844507234735,0,1,0,1,0,0,0,-1.5313972597434444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
-0.33538716804216334,-0.9860023199505414,"3811.                   After detection and inspecting the accident chart, the policeman of the accident chart revealed the following: - While the causing vehicle was coming from the east to the west, taking the middle path, and the damaged vehicle in front of it on the same lane, and because of not leaving enough space with the offending driver, the front of the causing vehicle collided with the rear end of the damaged vehicle and the accident resulted in the injured driver being moderately injured. He received the necessary treatment and left the hospital, as a result of damage. It leaded to financial losses also, then the site of the accident was examined and necessary action was taken.",-0.19746179160121255,-0.4015453331379524,0.6331117943832852,0,1,0,1,0,0,0,-1.5277637026786317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-0.33538716804216334,0.6053514962882024,"3812.                   After detection and inspecting the accident site, the following accident chart clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle, according to the chart, the accident occurred.",2.2427620534705888,-0.4015453331379524,1.6339099169366647,0,1,0,1,0,0,0,-1.5388175961589357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
