Emirate,Police Station,Year,Month,Date,City,Road,Report Number,Day,Week,Report type,Reasons,Computed,Streets,Street,Place,Location,lighting,Weather,Road surface,Intersection,Accident Type,Nationalities,Seat Belt,Injured person position,Injured person's seat,Degree of the injury,Age of the injured,Gender,Gender of the injured,Inp Age,Age Group,Date - Month,Nationality of the Injured person,Day,Iac Rep Time,Time,Age Group - Ministry,Computed2,Area,Block,Str Code,Accident Description,Location,Fasten seat belt,Road speed limit,Pedestrian action,Number of Lanes
Abu Dhabi,Shaabiya Police Station,2012,January,01-01-12,Abu Dhabi,Internal road,1.0012E+11,1,First week,Traffic accident with injuries,under influence of intoxicant or narcotic drug,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Bridge / Tunnel,Highway,day,clear,Dry,Not on Intersection,Perpendicular collision,UAE,Y,Driver,Driver's seat,Minor,27,M,Male,27,18 to 30 years,Jan,UAE,Sunday,12:30,PM,18 to 30 years,1,Dhafra (Abu Dhabi),Block 15-1,14,"4627.                 Having surveyed the scene of the accident: - The driver of the vehicle causing the accident was heading from the west to the east taking the middle lane, due to the exceed speed and negligence the situation, the front part hit the pavement, it rolled off 128 meters, which resulted in physical damages to the vehicle, 4 cone barriers, removal of 4 iron rails, and breaking 2 meters of the pavement, the driver and passenger mildly injured, they received treatment and left the hospital. The accident is charted and necessary actions are made.          ","Al Dhafra Street, near Al-Jawiyya Roundabout",Yes,60,None,6
Abu Dhabi,Shaabiya Police Station,2012,January,01-01-12,Abu Dhabi,Internal road,1.0012E+11,1,First week,Traffic accident with injuries,under influence of intoxicant or narcotic drug,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Bridge / Tunnel,Highway,day,clear,Dry,Not on Intersection,Perpendicular collision,UAE,N,Passenger,Back passenger seat,Minor,10,M,Male,10,8 to 17 years,Jan,UAE,Sunday,12:30,PM,Below 18 years,1,Dhafra (Abu Dhabi),Block 15-1,14,"4628.                 Having surveyed the scene of the accident: - The driver of the vehicle causing the accident was heading from the west to the east taking the middle lane, due to the exceed speed and negligence the situation, the front part hit the pavement, it rolled off 128 meters, which resulted in physical damages to the vehicle, 4 cone barriers, removal of 4 iron rails, and breaking 2 meters of the pavement, the driver and passenger mildly injured, they received treatment and left the hospital. The accident is charted and necessary actions are made.          ","Al Dhafra Street, near Al-Jawiyya Roundabout",No,60,None,6
Abu Dhabi,Shaabiya Police Station,2012,January,01-01-12,Abu Dhabi,Internal road,1.0012E+11,1,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,IP9 IntersectionHamdan Bin Mohamed - Salam,IP9 IntersectionHamdan Bin Mohamed - Salam,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Person run over,India,N,Pedestrian,No passenger,Moderate,55,M,Male,55,46 to 60 years,Jan,Asian States,Sunday,19:30,PM,46 to 60 years,1,Markaziya,Block 52-1,103,"4629.                 Having surveyed the scene of the accident: - a person was coming from the west to the east 10 meters away from the pedestrian crossing, the vehicle was heading from the north to the south taking the left second lane, the person approached and ran the red light, the front part of the vehicle hit him, the body bumped into the windshield and bounced back 5 meters away, he sustained a fracture in the left leg and taken to Khalifa Hospital in a moderate general condition, certain physical damages caused to the vehicle at the front, hood, and windshield. The accident is charted and necessary actions are made.           ","Tourist Club, Hamdan Street, intersection with Abu Dhabi International Hotel",No,60,"Cross, but not on the crosswalk",4
Abu Dhabi,Khaldiya Police Station,2012,January,01-01-12,Abu Dhabi,Internal road,1.0012E+11,1,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP3 IntersectionZayed Al Awal - Tariq Bin Zeyad,IP3 IntersectionZayed Al Awal - Tariq Bin Zeyad,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Sudan,N,Driver,Driver's seat,Minor,27,F,Female,27,18 to 30 years,Jan,Arab States,Sunday,21:01,PM,18 to 30 years,1,Al Hosn,Block 33-2,91,"4630.                 Having surveyed the scene of the accident: - The damaged vehicle was heading from the north to the south, the vehicle causing the accident was heading from the south to the west, it ran the red light and crashed into the right side of the other. This is how the accident happened.",Intersection of major stores,No,60,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,02-01-12,Abu Dhabi,Internal road,1.0012E+11,2,First week,Traffic accident with injuries,Fatigue and drowsiness,1,IP20 IntersectionHamdan Bin Mohamed - Rashed Bin Saeed Al-Maktoum,IP20 IntersectionHamdan Bin Mohamed - Rashed Bin Saeed Al-Maktoum,Commercial area,Double road,night - enough lights,clear,Dry,Half Perpendicular Intersection,Side collision,Egypt,N,Driver,Driver's seat,Severe,57,M,Male,57,46 to 60 years,Jan,Arab States,Monday,20:25,PM,46 to 60 years,1,Markaziya (Gharb),Block 12-2,107,"4631.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the west to the east taking the right lane, it suddenly swerved and bumped into the right pavement, it recovered control but bumped again, while heading to the side street it bumped into the pavement for the third time, the driver kept driving and crashed into the rear part of the other vehicles, which were completely stopped, the driver kept moving and crashed into the gate of a company without causing any damages to the gate,  the driver injured. He might have had a medical condition that made him lost control. This is how the accident happened. The accident is charted and necessary actions are made.           ","Rashid Bin Saeed Street, opposite Marks & Spencer",No,60,None,2
Abu Dhabi,Khaldiya Police Station,2012,January,04-01-12,Abu Dhabi,Internal road,1.0012E+11,4,First week,Traffic accident with injuries,Ignoring road lane,1,IP20 IntersectionHamdan Bin Mohamed - Rashed Bin Saeed Al-Maktoum,IP20 IntersectionHamdan Bin Mohamed - Rashed Bin Saeed Al-Maktoum,Commercial area,Intersection,night - enough lights,clear,Dry,Multiple leg Intersection,Side collision,USA,N,Driver,Driver's seat,Severe,24,M,Male,24,18 to 30 years,Jan,Other,Wednesday,0:50,PM,18 to 30 years,1,Markaziya (Gharb),Block 12-2,107,"4632.                 Having surveyed the scene of the accident: - two vehicles were heading from the north to the south, the first was taking the left lane, the second was surprised by the first overtaken trying to turn left, the second skipped the ordinary route, and the first crashed into the right side of the second, both vehicles stopped as illustrated in the chart.  ",Ahmed bin Hamed intersection,No,60,None,3
Abu Dhabi,Shaabiya Police Station,2012,January,04-01-12,Abu Dhabi,Internal road,1.0012E+11,4,First week,Traffic accident with injuries,under influence of intoxicant or narcotic drug,1,IP47A IntersectionAl Sharqi (Muroor) - Delma,IP47A IntersectionAl Sharqi (Muroor) - Delma,Other,Bridge /  Tunnel,night - enough lights,clear,Dry,Not on or around 20 meters,Rear collision,India,N,Driver,Driver's seat,Death,63,M,Male,63,Above 60,Jan,Asian States,Wednesday,4:45,PM,Above 60,1,Al Wahda,Block 16-1,169,"4633.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the west the east taking the second lane, the damaged vehicle was driving in the same lane, the driver of the first was intoxicated and distracted, he bumped into the rear part of the second, the driver of the latter died as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ","Al Muroor Street, outward, on Al Nahyan Bridge",No,60,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP40 IntersectionRashed Bin Saeed Al-Maktoum - Street 35,IP40 IntersectionRashed Bin Saeed Al-Maktoum - Street 35,Fuel Station,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,Britain,N,Passenger,Back passenger seat,Moderate,56,M,Male,56,46 to 60 years,Jan,Other,Thursday,9:08,AM,46 to 60 years,1,Airport,Block 27-1,189,"4634.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the far left lane trying to turn and take the east direction, the damaged vehicle was coming from the west to the east taking the left third lane, the first ran the red light and bumped into the right side of the other, the two drivers and the passengers were injured as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ",Wimpey intersection,No,80,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP40 IntersectionRashed Bin Saeed Al-Maktoum - Street 35,IP40 IntersectionRashed Bin Saeed Al-Maktoum - Street 35,Fuel Station,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,UAE,Y,Driver,Driver's seat,Moderate,22,M,Male,22,18 to 30 years,Jan,UAE,Thursday,9:08,AM,18 to 30 years,1,Airport,Block 27-1,189,"4635.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the far left lane trying to turn and take the east direction, the damaged vehicle was coming from the west to the east taking the left third lane, the first ran the red light and bumped into the right side of the other, the two drivers and the passengers were injured as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ",Wimpey intersection,Yes,80,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP40 IntersectionRashed Bin Saeed Al-Maktoum - Street 35,IP40 IntersectionRashed Bin Saeed Al-Maktoum - Street 35,Fuel Station,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,Sultanate of Oman,Y,Driver,Driver's seat,Minor,33,M,Male,33,31 to 45 years,Jan,GCC,Thursday,9:08,AM,31 to 45 years,1,Airport,Block 27-1,189,"4636.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the far left lane trying to turn and take the east direction, the damaged vehicle was coming from the west to the east taking the left third lane, the first ran the red light and bumped into the right side of the other, the two drivers and the passengers were injured as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ",Wimpey intersection,Yes,80,None,4
